X X XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
0 1 01000010001011100000000000000000 11000011101000011000000000000000
0 1 11000011101000011000000000000000 01000010100100000010000000000000
0 1 01000010100100000010000000000000 11000100000100100100000000000000
0 1 11000100000100100100000000000000 01000100010000100111000000000000
0 1 01000100010000100111000000000000 01000100100000001000000000000000
0 1 01000100100000001000000000000000 01000101100000000000000000000000
0 1 01000101100000000000000000000000 00111111100000000000000000000000
0 1 00111111100000000000000000000000 00111111010100000000000000000000
0 1 00111111010100000000000000000000 01000001101000000000000000000000
0 1 01000001101000000000000000000000 01000001111101000000000000000000
0 1 01000001111101000000000000000000 01000101100010101110000000000000
0 1 01000101100010101110000000000000 11000010100001101000000000000000
0 1 11000010100001101000000000000000 01000010110010000000000000000000
0 1 01000010110010000000000000000000 01000011010010000000000000000000
0 1 01000011010010000000000000000000 01000000010000000000000000000000
0 1 01000000010000000000000000000000 01000011001011100000000000000000
0 1 01000011001011100000000000000000 01000011000001110000000000000000
0 1 01000011000001110000000000000000 01000001101110000000000000000000
0 1 01000001101110000000000000000000 01000011110111100000000000000000
0 1 01000011110111100000000000000000 01000010101100100000000000000000
0 1 01000010101100100000000000000000 01000010000010000000000000000000
0 1 01000010000010000000000000000000 11000110000011001010000000000000
0 1 11000110000011001010000000000000 01000101000010101110000000000000
0 1 01000101000010101110000000000000 01000010110010100000000000000000
0 1 01000010110010100000000000000000 11000011010010110000000000000000
0 1 11000011010010110000000000000000 01000000000000000000000000000000
0 1 01000000000000000000000000000000 01000000010000000000000000000000
0 1 01000000010000000000000000000000 01000000100000000000000000000000
0 1 01000000100000000000000000000000 01000000111000000000000000000000
0 1 01000000111000000000000000000000 01000001000000000000000000000000
0 1 01000001000000000000000000000000 01000001000001000000000000000000
0 1 01000001000001000000000000000000 01000001000100010000000000000000
0 1 01000001000100010000000000000000 01000110000011100000100000000000
0 1 01000110000011100000100000000000 11000001101110000000000000000000
0 1 11000001101110000000000000000000 01000010000010000000000000000000
0 1 01000010000010000000000000000000 01000010011000000000000000000000
0 1 01000010011000000000000000000000 01000010100111000000000000000000
0 1 01000010100111000000000000000000 01000100011111000100000000000000
0 1 01000100011111000100000000000000 01000100111111001110000000000000
0 1 01000100111111001110000000000000 01000100111111010000000000000000
0 1 01000100111111010000000000000000 01000100111110101010000000000000
0 1 01000100111110101010000000000000 01000100111110100100000000000000
0 1 01000100111110100100000000000000 01000100111110100010000000000000
0 1 01000100111110100010000000000000 01000011010010010000000000000000
0 1 01000011010010010000000000000000 00111111001000000000000000000000
0 1 00111111001000000000000000000000 00111110100000000000000000000000
0 1 00111110100000000000000000000000 01000010110010000000000000000000
0 1 01000010110010000000000000000000 01000011010010000000000000000000
0 1 01000011010010000000000000000000 01000010001101000000000000000000
0 1 01000010001101000000000000000000 01000010100000100000000000000000
0 1 01000010100000100000000000000000 01000010100111000000000000000000
0 1 01000010100111000000000000000000 00111110100000000000000000000000
0 1 00111110100000000000000000000000 00111111000000000000000000000000
0 1 00111111000000000000000000000000 10111110100000000000000000000000
0 1 10111110100000000000000000000000 11000010110010010000000000000000
0 1 11000010110010010000000000000000 01000011100101100100000000000000
0 1 01000011100101100100000000000000 11000011010010000000000000000000
0 1 11000011010010000000000000000000 11000011010010000000000000000000
0 1 11000011010010000000000000000000 01000001101110000000000000000000
0 1 01000001101110000000000000000000 01000010001101000000000000000000
0 1 01000010001101000000000000000000 11000001101110000000000000000000
0 1 11000001101110000000000000000000 01000010011000000000000000000000
0 1 01000010011000000000000000000000 01000010100111000000000000000000
0 1 01000010100111000000000000000000 11000010100111100000000000000000
0 1 11000010100111100000000000000000 01000010100110100000000000000000
0 1 01000010100110100000000000000000 01000010100110110000000000000000
0 1 01000010100110110000000000000000 01000010100111001000000000000000
0 1 01000010100111001000000000000000 11000010100110110000000000000000
0 1 11000010100110110000000000000000 01000100111110100000000000000000
0 1 01000100111110100000000000000000 11000000000100000000000000000000
0 1 11000000000100000000000000000000 10111111101000000000000000000000
0 1 10111111101000000000000000000000 01000000010100000000000000000000
0 1 01000000010100000000000000000000 01000100001010011000000000000000
0 1 01000100001010011000000000000000 01000100011000010000000000000000
0 1 01000100011000010000000000000000 00111111100000000000000000000000
0 1 00111111100000000000000000000000 01000010000010000000000000000000
0 1 01000010000010000000000000000000 11000010101110000000000000000000
0 1 11000010101110000000000000000000 01000000001000000000000000000000
0 1 01000000001000000000000000000000 01000000010001000000000000000000
0 1 01000000010001000000000000000000 01000010010000100000000000000000
0 1 01000010010000100000000000000000 11000010010000010000000000000000
0 1 11000010010000010000000000000000 01000100001011110000000000000000
0 1 01000100001011110000000000000000 11000100001011110010000000000000
0 1 11000100001011110010000000000000 01000011011010100000000000000000
0 1 01000011011010100000000000000000 11000011011011111000000000000000
0 1 11000011011011111000000000000000 11000011011011001000000000000000
0 1 11000011011011001000000000000000 01000010100111000000000000000000
0 1 01000010100111000000000000000000 01000010000010000000000000000000
0 1 01000010000010000000000000000000 11000010011000000000000000000000
0 1 11000010011000000000000000000000 01000010101011100000000000000000
0 1 01000010101011100000000000000000 01000010100111000000000000000000
0 1 01000010100111000000000000000000 11000010101011100000000000000000
0 1 11000010101011100000000000000000 01000010101100100000000000000000
0 1 01000010101100100000000000000000 01000010110001000000000000000000
0 1 01000010110001000000000000000000 01000110000011110101100000000000
0 1 01000110000011110101100000000000 01000101010000111111000000000000
0 1 01000101010000111111000000000000 01000001000000000000000000000000
0 1 01000001000000000000000000000000 01000000011000000000000000000000
0 1 01000000011000000000000000000000 01000110000011000111010000000000
0 1 01000110000011000111010000000000 01000000100000000000000000000000
.
